angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio_11,label
174.37395,178.6354,60.602386,53.34354,164.82741,175.53839,166.03198,173.76837,1.0644797,0.77041405,0.8272823,0.8030737,0.01525922,0.1741685,0.5706852,1.0482606,0.5157125,1.0234782,0.28749,0.30179086,correct
175.9504,178.94464,61.30175,54.64649,165.14746,179.20547,166.37077,169.58588,1.0654731,0.7949005,0.8364564,0.7982849,0.023348631,0.17716564,0.59281045,1.05081,0.52663773,1.0521649,0.2941691,0.3174811,correct
173.64465,179.47548,59.883842,54.73807,167.44835,177.72221,168.69312,172.25987,1.0733929,0.77585816,0.8226179,0.7869518,0.011106843,0.17181389,0.5657296,1.0454848,0.50689447,1.0298688,0.303183,0.30898872,correct
173.80103,179.89165,59.20907,55.290386,165.88805,178.35966,165.95964,171.1965,1.0828142,0.77524966,0.82320786,0.790552,0.03267476,0.16933379,0.57304126,1.0495126,0.5167176,1.0150886,0.29468045,0.3171313,correct
175.11014,178.65112,60.146725,54.539593,165.8061,179.5874,166.43733,170.21208,1.0718361,0.77427024,0.8139959,0.8012887,0.016383244,0.16717522,0.5757345,1.06002,0.52420056,1.0370853,0.29364547,0.3071009,correct
175.94986,178.05931,59.91631,53.90758,166.60889,177.62479,166.88333,171.98416,1.0673301,0.78493273,0.8151189,0.8001281,0.02721474,0.1740304,0.56747067,1.0720876,0.52786463,1.026807,0.29692504,0.31790856,correct
175.69106,177.75493,59.597004,54.090836,167.34477,178.25233,167.2208,171.94478,1.079156,0.78337395,0.81584865,0.7996271,0.024502862,0.15811151,0.5714981,1.0757422,0.5265215,1.043029,0.30148798,0.31952995,correct
176.08823,178.22017,60.884865,54.43269,164.14584,179.72023,164.85674,170.19057,1.0577133,0.7790011,0.8070672,0.7845971,0.020858943,0.17112418,0.56247634,1.0601566,0.5164434,1.0194126,0.2935779,0.3109809,correct
175.04065,177.83617,59.698986,54.424675,166.38068,178.97588,167.40367,167.82016,1.072337,0.76646394,0.8261104,0.7904532,0.023775944,0.15650429,0.56208426,1.069311,0.53307045,1.027344,0.29683572,0.31687844,correct
171.35364,175.7757,65.76475,55.892937,151.89026,172.15967,157.47333,161.55896,1.0761411,0.93823564,0.81001294,0.8839614,0.11075218,0.1649365,0.81441134,1.1006601,0.7437959,1.1209538,0.36538178,0.27714685,correct
172.11775,175.71504,65.875114,55.80231,152.9246,172.08066,159.34163,161.2386,1.099548,0.94069666,0.8198827,0.9017664,0.10386661,0.16913193,0.8379039,1.1029946,0.7584227,1.1465709,0.38163388,0.2958617,correct
169.89638,175.08278,65.83738,55.732735,150.84076,172.05824,157.27586,161.29016,1.0653099,0.94752795,0.8011729,0.8828184,0.1028647,0.17025274,0.80527455,1.1114507,0.7546196,1.1201866,0.36434802,0.2840435,correct
172.82309,175.61366,66.82102,55.832726,150.91467,172.03839,156.55328,160.9123,1.0706517,0.956286,0.8025259,0.88919073,0.11050015,0.1783979,0.82012624,1.1199272,0.7421252,1.1180623,0.37481874,0.28063646,correct
171.26349,176.49176,66.10008,56.88444,151.80533,170.71431,157.71216,159.63849,1.0871683,0.93644214,0.8090423,0.892491,0.10560876,0.16844559,0.83920664,1.0795158,0.73862255,1.1319646,0.360697,0.27321506,correct
172.11595,178.55435,59.19322,52.99539,167.35313,172.94785,170.53728,176.08687,1.1287622,0.9513511,0.89259297,0.8866728,0.054069832,0.16704923,0.70664996,1.1773132,0.623916,1.1636021,0.3495939,0.29701585,correct
170.7331,177.76227,58.286823,52.753498,168.68967,173.32948,172.53517,174.88525,1.1402662,0.9321832,0.9055603,0.8692965,0.046649102,0.1584641,0.69929314,1.162259,0.61720634,1.1639277,0.35344303,0.3085822,correct
171.71956,178.73358,60.019493,52.823677,166.44994,171.25404,170.60599,178.15208,1.1334777,0.9511785,0.89773,0.8771897,0.06526609,0.18760699,0.71724063,1.1863384,0.6224184,1.1747373,0.36495176,0.30040064,correct
171.17116,178.28821,58.905537,53.060184,167.81512,173.43433,171.51808,175.56525,1.1278404,0.9545829,0.89080054,0.89139146,0.0500524,0.16588108,0.7126784,1.1760359,0.61930627,1.153418,0.3464366,0.29878587,correct
171.67667,177.6187,58.789314,52.91214,167.59705,173.01167,171.84279,176.74194,1.1276445,0.952215,0.891915,0.87659556,0.06289718,0.16460554,0.6989698,1.175077,0.6282748,1.1615347,0.34496084,0.28690058,correct
172.4272,168.20853,59.672626,55.61931,158.21452,164.94386,153.56937,149.94397,1.0390447,0.8131552,0.7033384,0.64582354,0.022744037,0.15888338,0.6616947,1.0502948,0.5626092,0.9906117,0.33411136,0.31138822,correct
170.40817,168.53302,59.257187,56.198803,157.86664,162.74669,153.77222,148.24863,1.0324186,0.7992207,0.70005876,0.64234143,0.022305287,0.14786345,0.65269864,1.0380744,0.5603239,0.9864795,0.32329288,0.30235282,correct
171.35051,168.09737,59.682335,55.46699,157.26952,164.78073,152.19812,149.80252,1.038224,0.8175251,0.6966995,0.65522754,0.02747517,0.16801648,0.66890466,1.0662256,0.5619212,0.99692273,0.32998213,0.3025708,correct
173.88133,167.17166,59.560497,55.36391,160.19853,166.21536,155.1649,152.36649,1.0594453,0.8056443,0.6986093,0.6514207,0.035364844,0.1607858,0.6782434,1.0553855,0.5697848,0.99009246,0.3407992,0.30635095,correct
172.06697,167.73067,59.334404,55.677406,159.26672,165.05977,155.35794,150.62779,1.0398301,0.81641275,0.6962256,0.6524438,0.020660577,0.15336816,0.66582996,1.0589765,0.56773436,0.9991435,0.32066816,0.3030876,correct
172.41983,163.79408,57.084938,61.994987,162.86322,167.85982,154.80101,152.79684,0.99347156,0.76864535,0.5090206,0.41095483,0.09163983,0.13390516,0.55040216,0.9495365,0.48799914,0.85403013,0.3244585,0.28956866,correct
172.74538,164.98943,57.187817,62.416664,163.1282,167.2096,155.80885,152.50214,0.9776346,0.7821031,0.50968677,0.41265175,0.09907232,0.124829985,0.5531533,0.9308549,0.489861,0.8496787,0.3219644,0.28956616,correct
171.2981,164.08199,56.466003,62.045345,162.34488,168.72531,154.8672,153.8505,0.978433,0.75958264,0.50644916,0.39842206,0.08816375,0.14171678,0.5383808,0.9457091,0.46626598,0.8517804,0.30693084,0.2795756,correct
170.80534,163.31317,56.45427,61.636127,163.76117,167.67595,155.58102,152.4748,0.9848301,0.7851721,0.50948197,0.40152022,0.089755766,0.124720976,0.5530722,0.9497038,0.5089051,0.8466633,0.32257083,0.29157156,correct
173.33443,165.99274,58.032536,62.61377,160.80598,168.92929,153.3588,154.49033,0.9897625,0.766335,0.49355686,0.4071803,0.092852615,0.1466954,0.5547144,0.93528914,0.48380116,0.85455656,0.31005555,0.26922143,correct
170.83513,160.0883,55.069683,60.54185,165.88509,175.24564,156.28671,157.7497,1.022039,0.747171,0.52337474,0.36873603,0.10015812,0.13329048,0.58120114,0.9454696,0.5387732,0.87867707,0.31662756,0.25828618,correct
